"MODEL MAIN DEVICE","VERSION NUMBER MAIN DEVICE","ANCILLARY DEVICE MODEL","ANCILLARY DEVICE VERSION"
AEMET SYSTEM,,,
AMOS,0.106;0.107;0.109,,
AMOS2X,2.16;3.7,,
AMVERS/SEAS,4.0;4.41;4.50;4.51;4.52;5.0;5.10;5.22;5.30;5.40;6.0;6.10;6.30;6.31;6.41;6.54;6.57;6.60;6.67;7.10;8.0;9.1,,
AVOS,1.15;1.16;1.17;1.19;1.21;1.24;1.25;1.27;1.28;1.3,,
AWS430,,Vaisala software,
AXIS_Autolauncher,,,
BAROS,1.0;2.1;3.2;4.0;4.1,,
BATOS,3.9;4.0;4.1;4.2;4.3;4.4;4.50;4.6;4.7;4.8,,
Beam Trawler Probes,,,
Bottom Trawler Probes,,,
CES SYSTEM,,,
C5-SAM,,,
DBI DECK DRIFTER,,,
Devil,,Turo,4.03.00;4.04.00;4.06.00;4.07.01;4.08.00;5.01.00;5.01.05;5.02.00;5.02.01;5.02.03;5.02.04;5.02.05;5.03.00;6.00.01;6.00.02;6.01.00;6.02.00;6.02.01;6.02.02;6.02.03;6.04.00;6.04.04;6.04.05;6.04.06;6.05.00
DIS - Built-in semi automatic launcher,,,
DIS - Fixed manual deck launcher,,,
DIS - Free hand launches,,,
DIS - Generic,,,
DIS - Portable manual deck launcher,,,
DIS - Semi automatic 10ft container launcher,,,
DIS - Semi automatic 20ft container launcher,,,
DMAWDS,,,
Dredge Probes,,,
EUCAWS/NEPTUNE,0.4.0;0.4.1;0.4.2;0.4.3,Turbowin+,2.0;2.1;2.2;2.3;2.4;2.5;2.6;2.7;3.0;3.1;3.2;3.3;4.0;4.1
FUGRO SYSTEM,,,
FYF AUTO OBS,2.1,,
GENERIC AUTO,,,
GENERIC MANUAL,,,
GENERIC TSG,,,
INT - Built-in semi automatic launcher,,,
INT - Fixed manual deck launcher,,,
INT - Portable manual deck launcher,,,
INT - Semi automatic 10ft container launcher,,,
INT - Semi automatic 20ft container launcher,,,
INTERLAKE SYSTEM,,,
KM BLUE INSIGHT,,,
KMA SYSTEM,,,
KOAC 7800,,,
LMC-16 DAQ,,,
Longline Probes,,,
MAWS 410,1103_v17,Maritime Observation Console,3.2.3266.16514
MERCURY,0.1.7;0.2.1;0.2.5;0.2.6;0.2.7;0.3.1;0.3.4;0.3.5;0.4.1;0.7.1;0.7.3,Cobalt Ship,1.0;1.1;1.2;1.3;1.4
MET SERVICE NZ SYSTEM,,,
METNO SYSTEM,,,
METOCEAN DECK DRIFTER,,,
MetOcean Deck Drifter,,,
MICHELSON,,,
MILOS 500 - DWDGFSF,2.44;2.46;2.51;2.56,,
MILOS 500 - YOURLINK,2.56,,
MILOS 520,2.44;2.46;2.51;2.56,,
MINOS,,,
MIROS,,,
MK21 Ethernet DAQ,,,
MK21 ISA,,,
MK21 USB DAQ,,,
MSTARSHIP,3.0,,
NIMOS,,,
NOAA_AOML_Autolauncher,,,
OBSJMA,1.01;2.00;3.00,,
OSC SYSTEM,3.00,,
OT ASAP,,,
PACE,,,
POLARSTERN SYSTEM,2.44,DWD-GFSF,18.10.05
Quoll,,Turo,4.03.00;4.04.00;4.06.00;4.07.01;4.08.00;5.01.00;5.01.05;5.02.00;5.02.01;5.02.03;5.02.04;5.02.05;5.03.00;6.00.01;6.00.02;6.01.00;6.02.00;6.02.01;6.02.02;6.02.03;6.04.00;6.04.04;6.04.05;6.04.06;6.05.00
SBE 21 SeaCAT Thermosalinograph,,Amverseas,10.0;9.0;9.1;9.2;9.3
SBE 38 Digital Oceanographic Thermometer,,Amverseas,10.0;9.0;9.1;9.2;9.3
SBE 45 Micro TSG Thermosalinograph,,Amverseas,10.0;9.0;9.1;9.2;9.3
SBE 48 Hull Temperature Sensor,,Amverseas,10.0;9.0;9.1;9.2;9.3
SEAS AUTOIMET,9.1,,
Set Gillnet/Fyke Net Probes,,,
TECHSAS,,,
Traps/Pots Probes,,,
Trolling Probes,,,
TURBOWEB,303,,
TURBOWIN,2.1;2.12;2.2;2.4;2.5;2.7;3.00;3.1;3.2;3.3;3.5;3.6;4.0;4.1;4.2;4.50;4.6;5.0;5.10;5.2;5.5;5.6,,
TURBOWIN+ AUTO,2.2;2.3;2.4;2.5;3.1;3.2;3.3;4.0;4.1;4.2,,
TURBOWIN+ MANUAL,2.00;2.1;2.2;2.4;2.6;2.7;3.00;3.1;3.2;3.3;4.0;4.1;4.2,,
0 - XBT Launcher,,,
1 - LM-2A Deck-mounted,,,
100 - MFSTEP Autolauncher,,,
2 - LM-3A Hand-Held,,,
20 - SIO XBT Autolauncher,,,
3 - LM-4A Thru-Hull,,,
30 - AOML XBT V6 Autolauncher,,,
31 - AOML XBT V8.0 Autolauncher,,,
32 - AOML XBT V8.1 Autolauncher,,,
4 - AL-12 TSK Autolauncher,,,
90 - CSIRO Devil Autolauncher,,,
