MODEL_MAIN_DEVICE CODE,VERSION_NUMBER_MAIN_DEVICE,NETWORK,AUTO or MANUAL,MANUFACTURER,ANCILLARY_DEVICE_MODEL CODE,ANCILLARY_DEVICE_VERSION
AMOS,0.106;0.107;0.109,VOS,AUTO,"""UK Meteorological Office""",,
AVOS,1.15;1.16;1.17;1.19;1.21;1.24;1.25;1.27;1.28;1.3,VOS,AUTO,"""Axys Technologies, Inc.""",,
PACE,,OT,,"""MUIR MATHESON LTD""",,
BAROS,1.0;2.1;3.2;4.0;4.1,VOS,AUTO,"""Meteo France""",,
BATOS,3.9;4.0;4.1;4.2;4.3;4.4;4.50;4.6;4.7;4.8,VOS,AUTO,"""Meteo France""",,
MINOS,,VOS,AUTO,"""SERPE IESM""",,
MIROS,,VOS,AUTO,"""MIROS HQ""",,
NIMOS,,OT,,"""ICON SOFTWARE""",,
AMOS2X,2.16;3.7;4.0,VOS,AUTO,"""""",,
AWS430,,VOS,AUTO,"""VAISALA""",Vaisala software,
C5-SAM,,VOS,MANUAL,"""Coastal Environmental Systems""",,
DMAWDS,,VOS,MANUAL,"""National Oceanic and Atmospheric Administation""",,
OBSJMA,1.01;2.00;3.00,VOS,MANUAL,"""Japan Meteorological Agency""",,
MERCURY,0.1.7;0.2.1;0.2.5;0.2.6;0.2.7;0.3.1;0.3.4;0.3.5;0.4.1;0.7.1;0.7.3;0.7.4,VOS,AUTO,"""STERELA""",Cobalt Ship,1.0;1.1;1.2;1.3;1.4
OT ASAP,,ASAP,,"""""",,
TECHSAS,,VOS,AUTO,"""""",,
MAWS 410,1103_v17,VOS,AUTO,"""VAISALA""",Maritime Observation Console,3.2.3266.16514
TURBOWEB,303,VOS,MANUAL,"""Royal Netherlands Meteorological Institute""",,
TURBOWIN,2.1;2.12;2.2;2.4;2.5;2.7;3.00;3.1;3.2;3.3;3.5;3.6;4.0;4.1;4.2;4.50;4.6;5.0;5.10;5.2;5.5;5.6,VOS,MANUAL,"""Royal Netherlands Meteorological Institute""",,
KOAC 7800,,VOS,AUTO,"""Koshin Denki""",,
MICHELSON,,VOS,AUTO,"""CHRISTIAN MICHELSEN RESEARCH A/S""",,
MILOS 520,2.44;2.46;2.51;2.56,VOS,AUTO,"""VAISALA""",,
MSTARSHIP,3.0,VOS,AUTO,"""METEOROLOGICAL SERVICE OF NEW ZEALAND LTD""",,
OceanPack,,SOOP,,"""SubCtech""",,
CES SYSTEM,,VOS,AUTO,"""""",,
KMA SYSTEM,,VOS,AUTO,"""""",,
OSC SYSTEM,3.00,VOS,AUTO,"""""",,
TSK MK-130,,SOOP,,"""""",AL-12 TSK Autolauncher,
