"CODE","DESCRIPTION"
AXWBTS,"27N, 79W-80W"
AX01,NA subpolar gyre around 60N
AX02,NA subpolar gyre near 60N
AX03,
AX07,Gibraltar - Miami
AX08,Newark - Cape Town
AX10,New York - Puerto Rico
AX11,
AX15,
AX18,Buenos Aires/Sao Paulo - Cape Town
AX20,Cayenne to Ponta Delgada
AX22,Drake Passage
AX25,Cape Town - Antarctica
AX29,
AX32,New Jersey - Bermuda
AX34,
AX90,Denmark - Iceland
AX97,21S off Brazil
IX01,Freemantle - Sunda Straits
IX06,
IX07,
IX08,
IX09,
IX10,
IX12,Freemantle-Red Sea
IX14,
IX15,Mauritius - Freemantle
IX21,Cape Town/Durban - Mauritius
IX22,Shark Bay - TimorSea/Banda Sea
IX28,Hobart - Dumont d'Urville
MX04,Malta-Genoa
PX02,Flores Sea - Torres Strait
PX04,
PX05,Japan - Brisbane (formerly NZ)
PX06,Fiji - Auckland
PX08,
PX09,Hawaii - Fiji - Auckland
PX10,
PX11,Indonesia - Japan
PX13,
PX17,
PX18,
PX21,
PX30,Brisbane - Fiji - Noumea
PX31,Noumea - Fiji - California
PX32,
PX34,Sydney - Wellington
PX36,
PX37,Hawaii - California
PX38,Hawaii - Alaska
PX39,Hawaii - Vancouver/Seattle
PX40,Hawaii - Japan
PX44,Guam - Hong Kong/Taiwan
PX45,3N137E-34N137N
PX46,3S165E-50N165E
PX50,
PX81,
