MAKE_MODEL CODE;VARIABLE CODE(S);MODEL_MANUFACTURER *INFO*;MODEL *INFO*;SENSOR_TYPES *INFO*
AANDERAA INSTRUMENTS NORWAY_2740;WS;AADI - Aanderaa Data Instruments. (5593);2740;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WS
AANDERAA INSTRUMENTS NORWAY_3590;WD;AADI - Aanderaa Data Instruments. (5593);3590;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WD
AANDERAA INSTRUMENTS NORWAY_CUP VANE WINDSENSOR;WD;WS;AADI - Aanderaa Data Instruments. (5593);CUP VANE WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WD;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WS
AANDERAA INSTRUMENTS NORWAY_CUP WINDSENSOR;WS;AADI - Aanderaa Data Instruments. (5593);CUP WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WS
AANDERAA INSTRUMENTS NORWAY_VANE WINDSENSOR;WD;AADI - Aanderaa Data Instruments. (5593);VANE WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WD
AGR_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
AIRMAR_110WX WEATHER STATION;HUM;;110WX WEATHER STATION;HYGROMETER_ELECTRONIC
AIRMAR_CUP VANE WINDSENSOR;WD;WS;;CUP VANE WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WD;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WS
AIRMAR_ST850;SST;;ST850;SST_IMMERSED_THERMOMETER
AMA_ALCOHOL ORD 2/C;AIRTEMP;;ALCOHOL ORD 2/C;THERMOMETER_ALCOHOL
AMA_ALCOHOL THERMOMETER;AIRTEMP;;ALCOHOL THERMOMETER;THERMOMETER_ALCOHOL
AMA_ELECTRICAL RESISTANCE THERMOMETER;AIRTEMP;;ELECTRICAL RESISTANCE THERMOMETER;THERMOMETER_ELECTRIC
AMA_MERCURY ORD 2/C;AIRTEMP;;MERCURY ORD 2/C;THERMOMETER_MERCURY_DRY_BULB
AMA_MERCURY THERMOMETER;AIRTEMP;;MERCURY THERMOMETER;THERMOMETER_MERCURY_DRY_BULB
