"REF","DESCRIPTION"
AFT_MAST,Aft mast
BRIDGE_WING,Bridge wing
BRIDGE_WING_BOTH_SIDES,Bridge wing both sides
BRIDGE_WING_WINDWARD_SIDE,Bridge wing windward side
CHART_ROOM,Chart room
ENGINE_ROOM,Engine Room
FOREMAST,Foremast
HANDHELD,Handheld
MAIN_DECK,Main deck
MAIN_DECK_BOTH_SIDES,Main deck both sides
MAINMAST,Mainmast
MAST_MONKEY_ISLAND,Mast on Monkey Island
MAST_ON_WHEELHOUSE_TOP,Mast on wheelhouse top
METEOROLOGICAL_MAST,Meteorological mast
MONKEY_ISLAND,Monkey Island
MULTISENSOR_OUTSIDE,Multisensor outside
NOT_FITTED,Not fitted
OTHER,Other
RADAR_DECK,Radardeck
TECHNICAL_ROOM,Technical room
WHEELHOUSE,Wheelhouse
WHEELHOUSE_NOT_PRESSURISED,"Wheelhouse, not pressurised (vented to the outside)"
WHEELHOUSE_PRESSURISED,Pressurised wheelhouse (closed and not vented to the outside)
WHEELHOUSE_TOP,Wheelhouse top
WHEELHOUSE_TOP_BOTH,Wheelhouse top both
WHEELHOUSE_TOP_CENTER,Wheelhouse top center
WHEELHOUSE_TOP_WINDWARD_SIDE,Wheelhouse top windward side
