"CODE","DESCRIPTION"
'	minute (angle)
''	second (angle)
A	ampere
a	year
AU	astronomical unit
Bq	becquerel
Bq.l-1	becquerels per litre
Bq.m-2	becquerels per square metre
Bq.m-3	becquerels per cubic metre
Bq.s.m-3	becquerel seconds per cubic metre
C	coulomb
cb.s-1	centibars per second
cb.(12h)-1	centibars per 12 hours
cd	candela
Cel	degree Celsius
CFU.ml-1	colony-forming units per millilitre
cm	centimetre
cm.h-1	centimetres per hour
cm.s-1	centimetres per second
cm2	square centimetre
cm-3	per cubic centimetre
cm3.m-3	cubic centimetres per cubic metre
d	day
daPa	dekapascal
dB	decibel
dB.deg-1	decibels per degree (angle)
dB_deg-1	decibels per degree
dB.m-1	decibels per metre
deg	degree (angle)
degC	degrees Celsius (°C)
degC.hm-1	degrees Celsius per 100 metres
degC.m-1	degrees Celsius per metre
degrees_true	degrees true
deg.s-1	degrees (angle) per second
deg_s-1	degrees per second
deg2	square degrees (angle)
dm	decimetre
dPa.s-1	decipascals per second (microbar per second)
DU	Dobson Unit
E	Eötvös
eV	electron volt
°F	degree Fahrenheit
F	farad
ft	foot
g	acceleration due to gravity
g.cm-3	grams per cubic centimetre
GHz	gigahertz
g.kg-1	grams per kilogram
g.kg-1.s-1	grams per kilogram per second
gpm	geopotential metre
Gy	gray
g0	standard acceleration due to gravity
H	henry
h	hour
ha	hectare
hPa	hectopascal
hPa.h-1	hectopascals per hour
hPa.s-1	hectopascals per second
hPa.(3h)-1	hectopascals per 3 hours
HU	Hazen units
Hz	hertz
in	inch
inapplicable	inapplicable
J	joule
J.kg-1	joules per kilogram
J.m-2	joules per square metre
K	kelvin
kcal.cm-2	kilocalories per square centimetre
kg	kilogram
kg.kg-1	kilograms per kilogram
kg.kg-1.s-1	kilograms per kilogram per second
kg.m-1	kilograms per metre
kg.m-2	kilograms per square metre
kg.m-2.s-1	kilograms per square metre per second
kg.m-3	kilograms per cubic metre
kg-2.s-1	per square kilogram per second
kHz	kilohertz
km	kilometre
km.d-1	kilometres per day
km.h-1	kilometres per hour
K.m.s-1	kelvin metres per second
K.m-1	kelvins per metre
km-1	per kilometre
km-1.sr-1	per kilometre per steradian
K.m2.kg-1.s-1	kelvin square metres per kilogram per second
kPa	kilopascal
kt	knot
kt.km-1	knots per 1000 metres
l	litre
lm	lumen
lx	lux
m	metre
mbar	millibar
mBq.m-3	millibecquerels per cubic metre
mGal	milligal
mg.cm-3	milligrams per cubic centimetre
mg.kg-1	milligrams per kilogram
mg.l-1	milligrams per litre
mg_m-3_25C	milligrams per cubic metre at 25 degrees
mg_N_l-1	milligram N per litre
mg_S_l-1	milligram S per litre
MHz	megahertz
min	minute (time)
missing	missing
mm	millimetre
mmHg	millimetre of mercury
mm.h-1	millimetres per hour
mmol.mol-1	millimoles per mole
mm.s-1	millimetres per second
Mm-1	per megametre
Mm-1.sr-1	per megametre per steradian
mm3.m-3	cubic millimetres per cubic metre
mm6.m-3	millimetres to the sixth power per cubic metre
mol	mole
mol.mol-1	moles per mole
mon	month
MPN.ml-1	most probable number index number in 1 millilitre
mS.cm-1	millisiemens per centimetre
mSv	millisievert
m.s-1	metres per second
m.s-1.km-1	metres per second per 1000 metres
m.s-1.m-1	metres per second per metre
m.s-2	metres per second squared
mV	millivolt
m-1	per metre
m-1.sr-1	per metre per steradian
m2	square metres
m2_Hz-1	square metres per hertz
m2_rad-1_s	square metres per radian second
m2.s	square metres second
m2.s.rad-1	square metres second per radian
m2.s-1	square metres per second
m2.s-2	square metres per square second
m2_s-2	square metres per second squared
m(2.3-1).s-1	metres to the two thirds power per second
m-3	per cubic metre
m3	cubic metres
m3.m-3	cubic metres per cubic metre
m3.s-1	cubic metres per second
m4	metres to the fourth power
N	newton
nbar	nanobar
ng.kg-1	nanograms per kilogram
ng.m-3	nanograms per cubic metre
nm	nanometre
nmi	nautical mile
nmol.mol-1	nanomoles per mole
N.m-2	newtons per square metre
NTU	nephelometric turbidity units
N_units	N units
Ohm	ohm
okta	eights of sky covered by cloud
Pa	pascal
Pa.s-1	pascals per second
pc	parsec
percent	per cent (%)
permil	parts per thousand
pH_unit	pH unit
pmol.mol-1	picomoles per mole
ppbv	parts per billion by volume
ppmv	parts per million by volume
pptv	parts per trillion by volume
psu	practical salinity unit
rad	radian
rad.m-1	radians per metre
rad.s-1	radian per second
S	siemens
s	second
S.m-1	siemens per metre
s.m-1	seconds per metre
sr	steradian
Sv	sievert
s-1	per second (same as hertz)
s-2	per second squared
T	tesla
t	tonne
t.ha-1	(metric) ton per hectare
THz	terahertz
u	unified atomic mass unit
ug_Cl_m-3	microgram CI per cubic metre
ug_C_m-3	microgram C per cubic metre
ug.kg-1	micrograms per kilogram
ug.l-1	micrograms per litre
ug.m-3	micrograms per cubic metre
ug_m-3_20C	micrograms per cubic metre at 20 degrees
ug_m-3_25C	micrograms per cubic metre at 25 degrees
